name,age,street,city,state,zip,lng,lat
Elizabeth Evans,57,614 Johnson Land,Jaredmouth,Washington,43213,-127.429637,10.612768
Victoria Dunn,23,3701 Rhodes Isle,Port Renee,Iowa,41689,48.223930,-50.8620425
Gabriela Bird,68,13171 Beard Corner,North Lindseyville,California,89212,100.741156,-32.4701305
Daniel Clark,51,50182 Sanchez Extensions Suite 944,Leahside,North Carolina,01034,134.882625,63.2088835
John Fisher,41,67950 Bridges Way,Jamesville,Massachusetts,29393,59.424190,68.5870115
Amanda Holloway,33,9282 Rice Lock Suite 084,Aaronchester,Pennsylvania,92653,28.633980,-82.8092725
Erin Parsons,32,03379 Sandoval Plain,Micheleville,Kansas,95053,-33.450757,-27.538901
Jennifer Gonzales,75,56181 Richard Knoll,Lake Janetville,Wisconsin,55195,64.818857,40.2909825
Heather Martinez,61,7194 Brenda Forge Suite 867,West Caitlin,Oklahoma,30597,-112.960128,31.957901
Charles Ferguson,32,9800 Timothy Overpass,South Randy,New Jersey,00815,56.528143,-48.254296
Scott Larson,54,0360 Lucas Ramp,Muellerstad,Kentucky,43044,-54.584589,-37.757086
Terri Baker,76,9254 Stafford Plaza Apt. 862,North Ernestland,Maine,86214,-130.273390,-45.3882915
Linda Esparza,45,030 Hartman Estate Suite 815,East Martin,Indiana,83942,-119.742665,4.687251
Amanda Ross,57,963 Taylor Vista Suite 256,Fletcherhaven,Washington,12747,78.090267,-2.9291975
Scott Martinez,49,79111 Sarah Pines Suite 851,Jesseview,North Carolina,50767,3.312092,33.148197
Teresa Patrick,69,317 Banks Lock,East Philipville,Tennessee,23447,150.095915,-55.6828525
Christopher Williams,50,38980 Lewis Plains Suite 414,Lake Tina,Alabama,73640,-12.222519,-23.959389
Raven Richardson,62,735 Orr Ports Apt. 631,North Natalie,New Hampshire,23314,-97.531524,-17.6279845
Joshua Harris,60,6863 Chris Locks Apt. 103,Jaredview,Georgia,96949,57.544339,-72.675109
Christopher Brock,38,207 Jordan Crossroad Suite 120,Port Chrisfort,New Jersey,26167,31.444856,24.353489
Stephanie Porter,38,847 Cuevas Loaf Suite 518,Pamelabury,South Dakota,94700,90.459216,-77.6842185
Anna Perez,47,465 Zamora Point,North Williamhaven,Colorado,17441,141.146543,40.0987885
Manuel Hale,55,75658 Martha Stream Suite 082,Annfort,Montana,53976,16.666358,44.6354575
